Date ,Open,High,Low,Close,Volume
09-Jun-11,"1,175.00","1,193.80","1,175.00","1,186.35","13,46,983"
10-Jun-11,"1,186.55","1,197.50","1,185.10","1,189.20","18,87,275"
13-Jun-11,"1,189.20","1,190.50","1,172.55","1,175.30","16,14,700"
14-Jun-11,"1,178.00","1,194.90","1,178.00","1,191.05","10,62,891"
15-Jun-11,"1,186.00","1,205.00","1,181.25","1,184.25","14,06,191"
16-Jun-11,"1,183.00","1,185.90","1,148.25","1,151.15","11,68,760"
17-Jun-11,"1,155.00","1,157.00","1,104.00","1,109.20","18,94,073"
20-Jun-11,"1,115.00","1,119.00","1,058.00","1,069.30","26,55,204"
21-Jun-11,"1,075.00","1,110.70","1,063.20","1,106.75","17,12,973"
22-Jun-11,"1,116.00","1,116.90","1,080.00","1,083.50","17,85,417"
23-Jun-11,"1,081.80","1,101.00","1,070.10","1,097.00","12,14,118"
24-Jun-11,"1,100.00","1,140.75","1,099.00","1,137.75","20,75,794"
27-Jun-11,"1,122.00","1,154.70","1,122.00","1,150.60","15,62,609"
28-Jun-11,"1,160.00","1,162.00","1,135.65","1,154.00","10,66,666"
29-Jun-11,"1,154.70","1,178.90","1,154.70","1,169.85","14,79,352"
30-Jun-11,"1,169.80","1,192.00","1,167.00","1,184.20","25,86,458"
01-Jul-11,"1,198.00","1,198.00","1,179.70","1,191.90","9,60,420"
04-Jul-11,"1,193.00","1,200.00","1,180.00","1,185.70","8,01,867"
05-Jul-11,"1,189.80","1,191.00","1,173.40","1,179.45","10,30,568"
06-Jul-11,"1,178.25","1,192.90","1,171.70","1,182.80","7,45,089"
07-Jul-11,"1,183.10","1,200.00","1,183.10","1,195.90","13,01,317"
08-Jul-11,"1,196.00","1,205.00","1,169.25","1,171.65","17,06,030"
11-Jul-11,"1,170.00","1,177.80","1,146.60","1,156.65","9,11,252"
12-Jul-11,"1,135.70","1,148.80","1,112.10","1,145.35","20,39,702"
13-Jul-11,"1,150.00","1,168.00","1,131.00","1,149.05","19,76,300"
14-Jul-11,"1,150.00","1,158.60","1,119.10","1,123.70","34,68,922"
15-Jul-11,"1,168.00","1,177.90","1,141.10","1,146.05","36,39,850"
18-Jul-11,"1,148.00","1,152.00","1,122.30","1,125.05","15,62,604"
19-Jul-11,"1,121.60","1,148.15","1,120.25","1,140.05","10,97,646"
20-Jul-11,"1,150.00","1,151.80","1,125.00","1,132.45","14,03,873"
21-Jul-11,"1,132.00","1,132.50","1,120.05","1,122.55","9,25,312"
22-Jul-11,"1,126.75","1,141.30","1,126.50","1,133.40","10,45,221"
25-Jul-11,"1,135.00","1,144.00","1,123.15","1,139.90","23,70,357"
26-Jul-11,"1,139.80","1,151.95","1,127.25","1,144.65","19,84,361"
27-Jul-11,"1,148.95","1,154.65","1,138.15","1,147.15","10,12,145"
28-Jul-11,"1,140.00","1,144.90","1,120.30","1,129.55","20,46,907"
29-Jul-11,"1,133.00","1,142.00","1,121.65","1,137.00","8,59,569"
01-Aug-11,"1,142.40","1,149.90","1,125.10","1,135.25","9,91,173"
02-Aug-11,"1,130.50","1,134.00","1,122.25","1,130.65","10,12,646"
03-Aug-11,"1,120.00","1,125.70","1,095.35","1,110.35","15,32,123"
04-Aug-11,"1,110.05","1,119.50","1,091.10","1,095.85","15,24,647"
05-Aug-11,"1,073.15","1,074.00","1,028.00","1,057.95","26,34,694"
08-Aug-11,"1,011.20","1,033.35",996.6,"1,005.35","32,74,653"
09-Aug-11,965,985.2,947.7,964.8,"40,79,635"
10-Aug-11,999,"1,012.00",973.8,984.05,"29,74,540"
11-Aug-11,980,983.4,963,978.35,"14,50,232"
12-Aug-11,990.55,991.9,937.5,947.15,"20,84,542"
16-Aug-11,967,978.35,956.05,973.6,"14,91,784"
17-Aug-11,974.5,"1,009.40",970,999.9,"22,78,946"
18-Aug-11,"1,005.90","1,009.30",958,962.35,"18,09,948"
19-Aug-11,943,946.95,905,928.95,"27,21,807"
22-Aug-11,929,930,902,918.05,"17,64,461"
23-Aug-11,920.85,988,920.35,981.6,"24,37,335"
24-Aug-11,978,978,955,962.6,"15,97,395"
25-Aug-11,969.7,973,938,950.4,"22,22,744"
26-Aug-11,951.1,969.5,940,948.45,"17,92,455"
29-Aug-11,964.1,"1,024.00",964.1,"1,019.60","27,95,222"
30-Aug-11,"1,030.00","1,050.30","1,024.15","1,042.40","29,83,341"
02-Sep-11,"1,073.00","1,074.75","1,012.00","1,022.10","22,06,753"
05-Sep-11,"1,015.80","1,033.20",998.45,"1,027.70","18,94,829"
06-Sep-11,"1,018.00","1,042.00","1,005.00","1,033.90","23,81,646"
07-Sep-11,"1,034.10","1,050.00","1,025.00","1,031.00","22,16,078"
08-Sep-11,"1,033.00","1,054.95","1,029.00","1,036.05","24,46,331"
09-Sep-11,"1,040.00","1,051.60","1,010.65","1,016.05","25,31,325"
12-Sep-11,"1,000.00","1,003.85",978.65,985.7,"16,48,585"
13-Sep-11,997.8,"1,024.00",988.75,993.75,"18,99,102"
14-Sep-11,"1,001.00","1,029.00",993.75,"1,015.10","23,72,816"
15-Sep-11,"1,028.00","1,045.80","1,010.00","1,041.75","19,26,119"
16-Sep-11,"1,048.00","1,072.40","1,021.30","1,027.75","23,28,252"
19-Sep-11,"1,021.50","1,032.50","1,012.50","1,018.05","11,20,117"
20-Sep-11,"1,022.10","1,064.00","1,022.10","1,057.95","17,43,993"
21-Sep-11,"1,067.95","1,067.95","1,036.90","1,043.50","13,70,380"
22-Sep-11,"1,023.00","1,034.00",986.2,994.4,"15,70,785"
23-Sep-11,988,"1,015.00",982.25,990.3,"22,82,116"
26-Sep-11,996,"1,008.00",969,996.95,"16,94,239"
27-Sep-11,"1,013.80","1,045.00","1,006.00","1,040.55","19,82,289"
28-Sep-11,"1,048.50","1,064.70","1,037.00","1,047.90","22,12,595"
29-Sep-11,"1,043.25","1,068.00","1,035.70","1,061.45","26,90,175"
30-Sep-11,"1,049.90","1,064.00","1,033.10","1,037.30","13,45,509"
03-Oct-11,"1,020.00","1,049.90","1,015.30","1,043.30","19,74,632"
04-Oct-11,"1,038.40","1,059.00","1,029.10","1,045.95","23,59,112"
05-Oct-11,"1,054.50","1,063.00","1,041.00","1,043.55","17,07,631"
07-Oct-11,"1,075.10","1,077.80","1,037.50","1,048.55","25,42,904"
10-Oct-11,"1,048.00","1,074.00","1,048.00","1,064.70","19,27,407"
11-Oct-11,"1,075.00","1,078.00","1,034.50","1,040.85","22,38,187"
12-Oct-11,"1,066.00","1,089.40","1,062.00","1,079.05","29,35,831"
13-Oct-11,"1,096.50","1,104.95","1,080.10","1,092.75","27,04,459"
14-Oct-11,"1,089.40","1,140.75","1,088.90","1,134.25","33,55,066"
17-Oct-11,"1,151.50","1,154.00","1,111.30","1,120.25","21,79,345"
18-Oct-11,"1,062.00","1,064.25","1,020.50","1,033.55","60,03,389"
19-Oct-11,"1,043.00","1,054.40","1,035.20","1,048.95","19,13,710"
20-Oct-11,"1,036.00","1,047.00","1,030.30","1,044.90","11,22,706"
21-Oct-11,"1,054.90","1,060.00","1,043.00","1,049.85","12,30,565"
24-Oct-11,"1,060.00","1,092.30","1,059.50","1,079.75","16,35,860"
25-Oct-11,"1,089.00","1,107.00","1,071.45","1,098.65","20,79,373"
26-Oct-11,"1,105.00","1,110.00","1,093.35","1,095.90","2,05,962"
28-Oct-11,"1,129.00","1,139.10","1,111.00","1,121.50","16,29,558"
31-Oct-11,"1,120.00","1,132.00","1,112.00","1,115.80","8,89,370"
01-Nov-11,"1,108.00","1,123.00","1,096.25","1,108.45","7,29,105"
02-Nov-11,"1,101.25","1,121.85","1,100.00","1,106.85","7,75,422"
03-Nov-11,"1,097.80","1,109.40","1,087.00","1,105.00","9,45,634"
04-Nov-11,"1,121.00","1,125.00","1,087.20","1,099.80","13,58,004"
08-Nov-11,"1,096.00","1,114.80","1,096.00","1,105.25","8,46,052"
09-Nov-11,"1,110.00","1,146.00","1,106.30","1,122.95","19,60,990"
11-Nov-11,"1,110.00","1,141.00","1,107.25","1,131.00","18,14,795"
14-Nov-11,"1,140.00","1,156.00","1,124.50","1,128.40","11,64,575"
15-Nov-11,"1,125.05","1,138.95","1,120.00","1,124.40","7,34,239"
16-Nov-11,"1,126.00","1,132.80","1,105.20","1,117.25","9,35,801"
17-Nov-11,"1,115.00","1,123.50","1,107.60","1,115.15","6,95,994"
18-Nov-11,"1,105.75","1,109.80","1,076.30","1,086.60","13,94,721"
21-Nov-11,"1,085.00","1,088.30","1,060.10","1,067.20","14,35,852"
22-Nov-11,"1,068.90","1,095.00","1,057.00","1,081.85","18,61,791"
23-Nov-11,"1,081.95","1,081.95","1,041.00","1,062.30","11,77,875"
24-Nov-11,"1,062.00","1,096.40","1,045.00","1,091.80","18,83,422"
25-Nov-11,"1,085.00","1,087.90","1,057.10","1,063.90","10,70,302"
28-Nov-11,"1,077.95","1,096.00","1,074.00","1,088.50","7,52,243"
29-Nov-11,"1,093.00","1,105.90","1,086.20","1,093.30","12,77,348"
30-Nov-11,"1,081.15","1,122.95","1,081.15","1,115.55","17,40,849"
01-Dec-11,"1,140.00","1,148.55","1,126.20","1,134.80","12,40,724"
02-Dec-11,"1,134.85","1,185.00","1,129.60","1,178.00","19,84,433"
05-Dec-11,"1,172.50","1,183.90","1,162.55","1,180.95","7,65,238"
07-Dec-11,"1,180.00","1,192.90","1,173.60","1,179.55","13,18,711"
08-Dec-11,"1,170.00","1,189.00","1,167.15","1,177.60","16,63,222"
09-Dec-11,"1,161.00","1,182.80","1,161.00","1,172.40","13,81,615"
12-Dec-11,"1,176.00","1,190.00","1,155.10","1,180.35","15,86,085"
